STT;Tên đầy đủ;Mã số doanh nghiệp;Sàn niêm yết;Mã chứng khoán
1;CTCP 32;0300517896;UPCOM;A32
2;CTCP Nhựa An Phát Xanh;0800373586;HOSE;AAA
3;CTCP Hợp Nhất;2400379403;UPCOM;AAH
4;CTCP Thủy sản Mekong;1800448811;HOSE;AAM
5;CTCP Lương thực A An;0109510866;Chưa niêm yết và chưa Upcom;AAN
6;CTCP Tập đoàn Tiên Sơn Thanh Hóa;2800222245;HOSE;AAT
7;CÔNG TY CỔ PHẦN AAV GROUP;0800819038;HNX;AAV
8;Ngân hàng TMCP An Bình;0301412222;UPCOM;ABB
9;CTCP Truyền Thông VMG;0101883619;UPCOM;ABC
10;CTCP Bảo hiểm Ngân hàng Nông nghiệp;38GP/KDBH;UPCOM;ABI
11;CTCP Đầu tư Nhãn Hiệu Việt;0312080709;HOSE;ABR
12;CÔNG TY CỔ PHẦN DỊCH VỤ NÔNG NGHIỆP BÌNH THUẬN;3400382278;HOSE;ABS
13;CTCP Xuất nhập khẩu thủy sản Bến Tre;1300376365;HOSE;ABT
14;Ngân hàng TMCP Cổ phần Á Châu;0301452948;HOSE;ACB
15;Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC;3700926112;HOSE;ACC
16;Công ty CP Bê tông ly tâm An Giang;1600669108;UPCOM;ACE
17;CTCP Gỗ An Cường;3700748131;HOSE;ACG
18;CTCP XNK Thủy sản Cửu Long An Giang;1600680398;HOSE;ACL
19;CTCP Tập đoàn Khoáng sản Á Cường;0100511368;UPCOM;ACM
20;CTCP Xây lắp Thương mại 2;0300584155;UPCOM;ACS
21;Tổng Công ty Cảng Hàng không Việt Nam - CTCP;0311638525;UPCOM;ACV
22;CTCP Mĩ Thuật và Truyền Thông;0102365521;HNX;ADC
23;CTCP Clever Group (tên cũ CTCP Quảng cáo thông minh);0102850165;HOSE;ADG
24;CTCP Sơn Á Đông;0302066222;HOSE;ADP
25;Công ty Cổ phần Damsan;1000389853;HOSE;ADS
26;CTCP Xuất Nhập khẩu Nông sản Thực phẩm An Giang;1600194461;UPCOM;AFX
27;CTCP 28.1;0304484232;UPCOM;AG1
28;CTCP Xuất nhập khẩu thủy sản An Giang (AGIFISH);1600583588;UPCOM;AGF
29;Công ty cổ phần Đầu tư và Phát triển Bất động sản An Gia;0311500196;HOSE;AGG
30;CTCP Xuất Nhập Khẩu An Giang (Angimex);1600230737;UPCOM;AGM
31;Công Ty Cổ Phần Dược Phẩm Agimexpharm;1600699279;UPCOM;AGP
32;CTCP Thực phẩm Nông sản Xuất khẩu Sài Gòn;0301042973;UPCOM;AGX
33;Tổng Công ty Cổ phần Bảo hiểm DBV;49GP/KDBH;UPCOM;AIC
34;CTCP Nguyên liệu Á Châu AIG;0314524981;UPCOM;AIG
35;CTCP Âu Lạc;0302704796;HNX;ALC
36;CTCP Văn hóa Tân Bình;0301420079;HNX;ALT
37;Công ty cổ phần Tập đoàn MCST;3300529819;UPCOM;ALV
38;Công ty cổ phần Khoáng sản Á Châu;2900859599;HNX;AMC
39;CÔNG TY CỔ PHẦN ALPHANAM E&C;0100520683;HNX;AME
40;CTCP Armephaco;0100109191;UPCOM;AMP
41;Công ty cổ phần Cơ khí Xây dựng Amecc;0200786983;UPCOM;AMS
42;CTCP Sản xuất kinh doanh Dược và Trang thiết bị y tế Việt Mỹ;3800237998;HNX;AMV
43;Công ty Cổ Phần Rau quả thực phẩm An Giang;1600230014;UPCOM;ANT
44;CTCP Nam Việt;1600168736;HOSE;ANV
45;Công Ty Cổ Phần Chiếu xạ An Phú;3700480244;UPCOM;APC
46;Công ty CP Nông sản thực phẩm Quảng Ngãi;4300321643;UPCOM;APF
47;CTCP Tập đoàn An Phát Holdings;0801210129;HOSE;APH
48;CTCP Đầu tư Châu Á - Thái Bình Dương;0102005769;HNX;API
49;CTCP Cơ khí và Thiết bị áp lực - VVMI;0102274810;UPCOM;APL
50;CTCP Phát triển Phụ gia và Sản phẩm dầu mỏ;0101438047;UPCOM;APP
51;CTCP Kinh doanh Thủy hải sản Sài Gòn;0300523755;UPCOM;APT
52;CTCP xuất nhập khẩu Hàng không;0100107934;HNX;ARM
53;Công ty Cổ phần Tập đoàn ASG;0104960269;HOSE;ASG
54;CTCP Tập Đoàn Sao Mai;1600169024;HOSE;ASM
55;CT CP TẬP ĐOÀN DẦU KHÍ AN PHA;0303224471;HOSE;ASP
56;CTCP Dịch vụ Hàng không Taseco;0107007230;HOSE;AST
57;CTCP NTACO;1600513044;UPCOM;ATA
58;Công ty Cổ phần An Trường An;4100577172;UPCOM;ATG
59;CTCP Thương mại và Dịch vụ An Thành;5400235774;Chưa niêm yết và chưa Upcom;ATP
60;Công ty cổ phần Tập đoàn tập đoàn đầu tư ATS;0100830798;HNX;ATS
61;CTCP Thủy điện A Vương;4000478435;UPCOM;AVC
62;Công Ty Cổ Phần Việt An;1600720555;UPCOM;AVF
63;CTCP Phân bón Quốc tế Âu Việt;6300230407;UPCOM;AVG
64;Kiểm thử hệ thống AZZ;02001011115;;AZE
65;Ngân hàng TMCP Bắc Á;2900325526;HNX;BAB
66;Công ty Cổ phần Nông nghiệp BAF Việt Nam;0107795944;HOSE;BAF
67;CTCP Bao bì Bia - Rượu - Nước giải khát;0200159453;UPCOM;BAL
68;CTCP Thống Nhất;3600667859;HNX;BAX
69;Công ty cổ phần bao bì Hoàng Thạch;0800208342;UPCOM;BBH
70;CTCP Bia Hà Nội - Nam Định;0600161270;UPCOM;BBM
71;CTCP Vicem Bao bì Bút Sơn;0600312071;HNX;BBS
72;Công ty Cổ phần Bông Bạch Tuyết;0300715584;UPCOM;BBT
73;CTCP B.C.H;0800286887;UPCOM;BCA
74;Công ty Cổ phần 397;5701435907;UPCOM;BCB
75;CTCP Xi măng Bỉm Sơn;2800232620;HNX;BCC
76;CTCP Xây Dựng & Giao Thông Bình Dương;3700408992;HOSE;BCE
77;CTCP Thực phẩm Bích Chi;1400371184;HNX;BCF
78;CTCP Bamboo Capital;0311315789;HOSE;BCG
79;CTCP Đầu tư xây dựng Bình Chánh;0301881016;Chưa niêm yết và chưa Upcom;BCI
80;Tập đoàn đầu tư và phát triển công nghiệp Becamex - CTCP;3700145020;HOSE;BCM
81;Công ty cổ phần Dược Enlie;3700683163;UPCOM;BCP
82;CTCP BCG Land;0314922132;UPCOM;BCR
83;CTCP Du lịch và thương mại Bằng Giang Cao Bằng - Vimico;4800130044;UPCOM;BCV
84;CTCP May mặc Bình Dương;3700769438;UPCOM;BDG
85;CTCP Xây lắp và Vật liệu xây dựng Đồng Tháp;1400101396;UPCOM;BDT
86;CTCP Cấp thoát nước Bình Định;4100258955;UPCOM;BDW
87;CTCP Sách và thiết bị trường học Đà Nẵng;0400465793;HNX;BED
88;Công Ty Cổ phần Điện tử Biên Hòa;3600254548;UPCOM;BEL
89;CTCP Phân bón Bình Điền;0302975517;HOSE;BFC
90;Công ty cổ phần BCG ENERGY;0314445458;UPCOM;BGE
91;CTCP Nước sạch Bắc Giang;2400126106;UPCOM;BGW
92;CTCP Thủy điện Bắc Hà;5300240587;UPCOM;BHA
93;Công ty cổ phần bê tông Biên Hòa;3600448180;UPCOM;BHC
94;Công ty Cổ phần Chè Biển Hồ;5900188843;UPCOM;BHG
95;Tổng CTCP Bảo hiểm Sài Gòn - Hà Nội;56GP/KDBH;UPCOM;BHI
96;CTCP Bia Hà Nội - Kim Bài;0500293795;UPCOM;BHK
97;Tổng CTCP Bia - Rượu - Nước giải khát Hà Nội;0101376672;HOSE;BHN
98;CTCP Bia Hà Nội - Hải Phòng;0200153370;UPCOM;BHP
99;Tổng CTCP Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam;11GP/KDBH;HOSE;BIC
100;Ngân hàng TMCP Đầu tư và Phát triển Việt nam;0100150619;HOSE;BID
101;Công ty cổ phần Đầu tư Big Group Holdings;0108045831;UPCOM;BIG
102;Công ty Cổ phần Đầu tư và Phát triển công nghiệp Bảo Thư;3400555146;UPCOM;BII
103;CTCP Vắc xin và sinh phẩm Nha Trang;4200451832;UPCOM;BIO
104;CTCP Khoáng sản Bắc Kạn;4700149595;HNX;BKC
105;CTCP Đầu tư BKG Việt Nam;0106935814;HOSE;BKG
106;Công ty Cổ phần Thủy sản Bạc Liêu;1900253340;UPCOM;BLF
107;Tổng CTCP Bảo hiểm Bảo Long (CTCP bảo hiểm Nhà Rồng);0301458065;UPCOM;BLI
108;CTCP Vận tải và Dịch vụ Liên Ninh;0106953041;UPCOM;BLN
109;CTCP Lương thực Bình Định;4100259042;UPCOM;BLT
110;CTCP Khoáng sản Bình Định;4100390008;HOSE;BMC
111;Công ty cổ phần Môi trường và Dịch vụ đô thị Bình Thuận;3400861721;UPCOM;BMD
112;Công ty Cổ phần Vật liệu xây dựng và chất đốt Đồng Nai;3600661303;UPCOM;BMF
113;CTCP May Bình Minh;0301886832;UPCOM;BMG
114;Tổng CTCP Bảo Minh;27GP/KDBH;HOSE;BMI
115;CTCP Khoáng sản Miền Đông AHP;3700927878;UPCOM;BMJ
116;CTCP Kỹ thuật Nhiệt Mèo Đen;3500773109;UPCOM;BMK
117;CTCP Nhựa Bình Minh;0301464823;HOSE;BMP
118;Công ty cổ phần Bột mỳ Vinafood1;0107151097;UPCOM;BMV
119;CTCP Đầu tư Sản xuất Bảo Ngọc;0105950129;HNX;BNA
120;Công ty cổ phần Nước sạch Bắc Ninh;2300108311;UPCOM;BNW
